[1/200] skip existing 00576224
[2/200] skip existing 00dbd492
[3/200] skip existing 03560426
[4/200] skip existing 05a7bcf2
[87/200] ok 6d1d5c90 correct=False tests=0/1
[88/200] ok 6ea4a07e correct=True tests=3/2
[89/200] ok 6ffe8f07 correct=False tests=0/2
[90/200] ok 705a3229 correct=True tests=2/1
[91/200] ok 712bf12e correct=False tests=0/1
[92/200] ok 72207abc correct=True tests=2/1
[93/200] ok 72a961c9 correct=False tests=0/1
[94/200] ok 73182012 correct=True tests=2/1
[95/200] ok 73c3b0d8 correct=False tests=1/1
[96/200] ok 758abdf0 correct=False tests=0/1
[97/200] ok 759f3fd3 correct=False tests=0/1
[98/200] ok 770cc55f correct=False tests=1/1
[99/200] ok 7953d61e correct=False tests=0/1
[100/200] ok 79cce52d correct=False tests=0/1
[101/200] ok 7d18a6fb correct=True tests=2/1
[102/200] ok 7d1f7ee8 correct=False tests=1/1
[103/200] ok 7e02026e correct=False tests=0/1
[104/200] ok 7e4d4f7c correct=True tests=2/1
[105/200] ok 7ee1c6ea correct=True tests=2/1
[106/200] ok 817e6c09 correct=False tests=0/1
[107/200] ok 833966f4 correct=True tests=2/1
[108/200] ok 833dafe3 correct=True tests=2/1
[109/200] ok 8597cfd7 correct=True tests=2/1
[110/200] ok 85b81ff1 correct=False tests=0/1
[111/200] ok 8618d23e correct=True tests=2/1
[112/200] ok 8b28cd80 correct=True tests=3/2
[113/200] ok 8ba14f53 correct=False tests=0/1
[114/200] ok 8cb8642d correct=False tests=0/1
[115/200] ok 8e2edd66 correct=False tests=1/1
[116/200] ok 8ee62060 correct=False tests=1/1
[117/200] ok 94414823 correct=True tests=2/1
[118/200] ok 96a8c0cd correct=False tests=0/1
[119/200] ok 973e499e correct=False tests=0/2
[120/200] ok 992798f6 correct=False tests=1/1
[121/200] ok 9968a131 correct=True tests=2/1
[122/200] ok 9a4bb226 correct=True tests=2/1
[123/200] ok 9b2a60aa correct=False tests=0/1
[124/200] ok 9c1e755f correct=True tests=2/1
[125/200] ok 9c56f360 correct=False tests=0/1
[126/200] ok 9caf5b84 correct=False tests=1/1
[127/200] ok 9ddd00f0 correct=False tests=0/1
[128/200] ok 9f27f097 correct=True tests=2/1
[129/200] ok 9f5f939b correct=False tests=1/1
[130/200] ok a57f2f04 correct=False tests=1/1
[131/200] ok a59b95c0 correct=True tests=2/1
[132/200] ok a644e277 correct=False tests=0/1
[133/200] ok a8610ef7 correct=False tests=0/1
[134/200] ok a934301b correct=True tests=2/1
[135/200] ok aa18de87 correct=True tests=2/1
[136/200] ok aaef0977 correct=True tests=2/1
[137/200] ok ac0c2ac3 correct=True tests=2/1
[138/200] ok ac605cbb correct=False tests=1/1
[139/200] ok ad38a9d0 correct=False tests=1/1
[140/200] ok ad7e01d0 correct=True tests=2/1
[141/200] ok ae58858e correct=False tests=0/1
[142/200] ok af726779 correct=False tests=1/3
[143/200] ok b1fc8b8e correct=True tests=3/2
[144/200] ok b2bc3ffd correct=False tests=1/1
[145/200] ok b745798f correct=True tests=2/1
[146/200] ok b7fb29bc correct=False tests=0/1
[147/200] ok ba9d41b8 correct=False tests=1/1
[148/200] ok bae5c565 correct=False tests=1/1
[149/200] ok bc4146bd correct=False tests=1/1
[150/200] ok bcb3040b correct=False tests=0/1
[151/200] ok bd283c4a correct=False tests=0/1
[152/200] ok c074846d correct=True tests=3/2
[153/200] ok c1990cce correct=False tests=0/1
[154/200] ok c48954c1 correct=True tests=2/1
[155/200] ok c92b942c correct=False tests=0/1
[156/200] ok c97c0139 correct=False tests=0/1
[157/200] ok ca8de6ea correct=False tests=1/1
[158/200] ok cad67732 correct=False tests=1/1
[159/200] ok cb227835 correct=False tests=1/1
[160/200] ok ce8d95cc correct=False tests=1/1
[161/200] ok cf133acc correct=False tests=0/1
[162/200] ok cf5fd0ad correct=False tests=0/1
[163/200] ok d19f7514 correct=True tests=2/1
[164/200] ok d282b262 correct=False tests=1/1
[165/200] ok d2acf2cb correct=True tests=2/1
[166/200] ok d304284e correct=False tests=0/1
[167/200] ok d47aa2ff correct=False tests=1/1
[168/200] ok da2b0fe3 correct=False tests=2/2
[169/200] ok dc2aa30b correct=False tests=0/1
[170/200] ok df9fd884 correct=False tests=1/1
[171/200] ok e133d23d correct=True tests=2/1
[172/200] ok e1baa8a4 correct=True tests=2/1
[173/200] ok e345f17b correct=False tests=0/2
[174/200] ok e4075551 correct=True tests=2/1
[175/200] ok e45ef808 correct=False tests=1/1
[176/200] ok e57337a4 correct=True tests=2/1
[177/200] ok e5790162 correct=False tests=0/1
[178/200] ok e5c44e8f correct=False tests=0/1
[179/200] ok e633a9e5 correct=True tests=2/1
[180/200] ok e681b708 correct=False tests=0/1
[181/200] ok e69241bd correct=False tests=1/1
[182/200] ok e6de6e8f correct=False tests=0/1
[183/200] ok e74e1818 correct=True tests=2/1
[184/200] ok e7639916 correct=True tests=2/1
[185/200] ok e7b06bea correct=True tests=2/1
[186/200] ok e84fef15 correct=True tests=2/1
[187/200] ok e99362f0 correct=False tests=0/1
[188/200] ok e9c9d9a1 correct=False tests=0/1
[189/200] ok ea9794b1 correct=False tests=0/1
[190/200] ok ed98d772 correct=False tests=0/1
[191/200] ok edcc2ff0 correct=False tests=1/1
[192/200] ok ef26cbf6 correct=True tests=2/1
[193/200] ok f0afb749 correct=False tests=1/1
[194/200] ok f21745ec correct=False tests=0/1
[195/200] ok f3cdc58f correct=False tests=1/1
[196/200] ok f45f5ca7 correct=True tests=2/1
[197/200] ok f9a67cb5 correct=False tests=0/1
[198/200] ok fd02da9e correct=False tests=1/1
[199/200] ok fe9372f3 correct=False tests=0/1
[200/200] ok ff72ca3e correct=False tests=0/1
{
  "finished_at": "2026-09-18T22:55:57.701879+00:00",
  "elapsed_s": 4180.294,
  "n_tasks": 200,
  "n_ok": 186,
  "n_error": 0,
  "n_skipped": 14,
  "n_correct": 71,
  "accuracy": 0.355,
  "total_usage": {
    "input_tokens": 2074960,
    "cached_input_tokens": 147975,
    "output_tokens": 456996,
    "reasoning_tokens": 316508,
    "total_tokens": 2531956
  }
}
