Task,Rule
HorizontalVertical5,"Color the top grid edge green when the connected parallel lines are horizontal, and the right edge green when they are vertical."
HorizontalVertical6,"Color the top grid edge green when the main pattern runs horizontally, and the right edge green when it runs vertically."
HorizontalVertical7,"Color the top grid edge with the marker color when the markers align horizontally, and the left edge when they align vertically."
HorizontalVertical8,"Erase the shapes attached to the top and bottom of each central shape. Leave shapes attached at its sides unchanged."
HorizontalVertical9,"Recolor every horizontal line orange and every vertical line yellow."
HorizontalVertical10,"If the shape is made of horizontal stripes, color the right grid edge cyan; if it is made of vertical stripes, color the top grid edge cyan."
InsideOutside1,"Count the colored, non-frame cells outside all hollow frames and output that many black cells as a single column."
InsideOutside2,"For each trio of matching shapes in which two form a pair of the same color, erase the same-colored pair when the odd-colored shape is directly between them; otherwise, erase the odd-colored shape."
InsideOutside3,"Erase a hollow outline when its distinct, accompanying marker is placed inside it; if a marker is not inside any frame, erase the marker instead."
InsideOutside4,"Erase every distinct marker cell that is not inside the innermost outline of a nested set."
InsideOutside5,"Keep every shape contained inside another shape, and erase the outermost frames and all shapes not contained inside another."
InsideOutside6,"Erase every hollow outline, which may contain gaps or breaks, along with everything inside it; preserve any object not contained inside any outline."
InsideOutside7,"For the hollow frames from left to right, output one cell in the frame's color for each non-background cell inside it as a single row."
InsideOutside8,"Keep only the markers inside the region implied by an (open or closed) outline, erasing the outlines and anything outside them."
InsideOutside9,"Keep only the cells lying between at least one pair of matching parallel boundaries, leaving the boundaries unchanged and erasing the rest."
InsideOutside10,"Restore every interrupted/occluded hollow outline, keep only the portions of intruding shapes inside the outlines, and erase the rest."
MoveToBoundary1,"Move each foreground object perpendicularly toward the complete boundary line until it first touches the line."
MoveToBoundary2,"Apply gravity in the direction indicated by the line orientation: grids with horizontal lines applies gravity to the right, and those with vertical lines applies gravity downwards"
MoveToBoundary3,"Keeping each shape rigid and without deforming it, move every shape to the right until it reaches the grid edge or another shape already packed to the right."
MoveToBoundary4,"Keeping each shape rigid and without deforming it, move every shape rigidly left until it reaches the grid edge or another shape already packed to the left."
MoveToBoundary5,"Move each T-shape in the direction of its stem until it reaches the grid edge or enclosing border."
MoveToBoundary6,"Use the orientation of the full length guide line to move each object from one perpendicular grid edge to the opposite edge, then erase the guide line."
MoveToBoundary7,"Move every smaller object straight towards the larger object until they touch. The larger object does not move."
MoveToBoundary8,"For each pair of lines (which may be solid or dotted), move whichever line is aligned toward the other along its own axis until the pairs touch."
MoveToBoundary9,"For every horizontally aligned pair of shapes, move the left shape to the left grid edge and the right shape to the right edge."
MoveToBoundary10,"For every horizontally aligned pair of shapes, move the left shape to the left grid edge and the right shape to the right edge."
Order1,"Reorder the objects by size from smallest to largest along their original horizontal or vertical arrangement and aligned against the same edge of the grid."
Order2,"Arrange the line segments as adjacent vertical columns at the bottom left, ordered from shortest to longest from left to right."
Order3,"Reorder the panels from fewest to most intruding noise cells along their original arrangement."
Order4,"Order the marked shapes from the lowest marker to the highest, then remove the markers to restore the underlying/unmarked shapes."
Order5,"Reorder the panels—which are separated by dividers—from fewest to most marker cells, preserving each panel's internal content and the dividers between them."
Order6,"Reorder the rectangles from smallest to largest along their original horizontal or vertical arrangement and aligned against the same edge of the grid."
Order7,"Arrange the two groups across the divider to place the group with fewer objects on the left, and that with more objects on the right."
Order8,"Output a single row containing one cell for each successive colored section, from top to bottom."
Order9,"Reorder the horizontal bars—which are separated by blank separators—by height, from shortest at the bottom to tallest at the top. Keep them separated by the blank separators, and leave any padding at the top unchanged."
Order10,"Output one cell for each nested layer, ordered from the outermost color to the innermost."
SameDifferent1,"Erase every object whose shape has no matching copy elsewhere in the grid."
SameDifferent2,"Erase every object whose shape has no matching copy elsewhere in the grid."
SameDifferent3,"Erase every object whose color occurs in no other object."
SameDifferent4,"Erase every line whose orientation is not shared by any other line."
SameDifferent5,"Output one cell in the color that appears inside more than one enclosing shape."
SameDifferent6,"Erase every object whose outer color occurs more than once, including anything inside it."
SameDifferent7,"Treat nested shapes independently, keeping only shapes with a matching copy and erasing all unique shapes."
SameDifferent8,"Extract the shape that is identical in both colored regions, cropped to its bounding box; if there is no common shape, output one black cell."
SameDifferent9,"Recolor both compared objects cyan when their shapes match, and gray when they differ."
SameDifferent10,"Keep both sides of the divider the same when their contents match; otherwise, erase everything to its right."
TopBottom2D1,"Produce the topmost of the contained shapes that begins above all others in a minimal bounding box."
TopBottom2D2,"Produce the bottomost of the contained shapes that ends after all others in a minimal bounding box."
TopBottom2D3,"Color the top horizontal line of the contained shape with red pixels."
TopBottom2D4,"Remove the shapes at the very top and the very bottom from the vertical/diagonal line of shapes."
TopBottom2D5,"Delete all but the bottomost contained shape."
TopBottom2D6,"Produce the bottomost contained shape in a minimal bounding box."
TopBottom2D7,"Produce the topmost contained shape in a minimal bounding box."
TopBottom2D8,"Color all contained shapes in the color of the bottomostcontained shape."
TopBottom2D9,"Color the highest contained shape/pattern grey."
TopBottom2D10,"Switch the topmost and bottommost contained shapes of all vertical stacks in the grid"
TopBottom3D1,"Swap the front and back layers of every group of overlapping shapes, reconstructing any newly visible sections of the lower layer."
TopBottom3D2,"Delete those shapes which are overlapped by a horizontal line."
TopBottom3D3,"Delete those shapes which overlap a background shape. The pixels that were previously overlapped should be colored in line with the background shape."
TopBottom3D4,"Shift the shape that overlaps another one to the left by one pixel."
TopBottom3D5,"Produce the shape that is not overlapped by another one in a minimal bounding box."
TopBottom3D6,"Produce the shape that is overlapped by all other shapes, or is ""at the bottom of the stack"" in a minimal bounding box."
TopBottom3D7,"Recolor overlapping pixels in favor of the vertical lines."
TopBottom3D8,"Switch the color of overlapping pixels, meaning if the pixel is currently the color of the overlapping line, it should be recolored to the color of the line beneath and vice versa"
TopBottom3D9,"Recolor all contained shapes to the color of the shape(s) that is overlapping it and keep the shapes that are not overlapped by any other shape as is"
TopBottom3D10,"Move the shape that is currently in the front to the back, meaning that all overlapping pixels are recolored in favor of the background shape."
